"location","data_type","year","gm30_mean","gm30_se","gm30_max","gm30_min"
"Kenai River Gull Rookery 1","Enterococci",2019,9.37308520334593,2.61718560018658,21.2346459969196,3.37664837538518
"Kenai River Gull Rookery 1","Enterococci",2020,7.84261007610181,0.653669680654583,10.3680519279421,4.02469323417112
"Kenai River Gull Rookery 1","Fecal Coliform",2019,21.5836298691323,4.72866858552598,55.9876673522587,10.8853344435892
"Kenai River Gull Rookery 1","Fecal Coliform",2020,61.0907340035498,8.07581984486535,94.8697867622524,33.5213330782932
"Kenai River Gull Rookery 2","Enterococci",2019,10.4016942230261,1.25628445621132,14.8751156961897,3.17797182781127
"Kenai River Gull Rookery 2","Enterococci",2020,4.52125176871687,0.61520949593577,8.24125370113871,2.83148508042306
"Kenai River Gull Rookery 2","Fecal Coliform",2019,29.1853384658354,5.8566796295216,53.6189859300847,6.66444370329191
"Kenai River Gull Rookery 2","Fecal Coliform",2020,18.899875235115,1.31663208379154,24.4288965573739,12.6165197514936
"North Kenai Beach 4","Enterococci",2019,37.6374243510706,7.95673548958609,69.2085740295517,9.42875973761637
"North Kenai Beach 4","Enterococci",2020,6.05407505497858,0.763966420559824,10.0216659140089,2.60517108469735
"North Kenai Beach 4","Fecal Coliform",2019,36.5064431320904,6.99805193400401,75.0718865064719,5.38321261208728
"North Kenai Beach 4","Fecal Coliform",2020,12.8440808110795,1.65853064286451,20.3279800518094,7.03299526519895
"South Kenai Beach 3","Enterococci",2019,83.4565379364135,14.0555561090161,126.117669036208,12.4423246181264
"South Kenai Beach 3","Enterococci",2020,29.0910662476274,2.79335121197264,39.7495623723447,14.5397165939973
"South Kenai Beach 3","Fecal Coliform",2019,69.2317748701441,17.9542674768493,182.122650723639,12.8624551827592
"South Kenai Beach 3","Fecal Coliform",2020,47.0112725046832,8.71199774781752,79.4391344373865,13.0524848610745
"Warren Ames Bridge","Enterococci",2019,2.75904572049913,0.34239736094865,4.73813722053759,1.74110112659225
"Warren Ames Bridge","Enterococci",2020,1.4769548053294,0.100037527133377,1.8881750225898,1
"Warren Ames Bridge","Fecal Coliform",2019,18.1617827325352,3.28267035403755,34.8120838545282,7.27478634879146
"Warren Ames Bridge","Fecal Coliform",2020,11.2160317174366,1.34197261736114,15.9219970475043,6.01276960400835
NA,NA,NA,0,NA,0,0
