datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2020-05-26T08:15:00Z,3,Warren Ames Bridge,7,NA,NA,8.3,1.322832,5.552236800000001,110,0
2020-06-04T06:30:00Z,38,Warren Ames Bridge,8,NA,NA,10.1,1.7861280000000002,18.52354944,180,0.038099999999999995
2020-06-09T08:09:00Z,32,Warren Ames Bridge,8,NA,NA,9.2,1.4721840000000002,11.120567040000001,230,0
2020-06-18T06:12:00Z,15,Warren Ames Bridge,8,NA,NA,12.4,2.185416,5.552236800000001,20,0
2020-06-23T08:30:00Z,17,Warren Ames Bridge,11,NA,NA,11.1,2.7371040000000004,11.120567040000001,170,0
2020-06-29T10:42:00Z,3.3,Warren Ames Bridge,14,NA,NA,10.8,1.72212,38.89784448,200,0.0508
2020-07-07T07:15:00Z,22,Warren Ames Bridge,12.2,NA,NA,12.6,2.7675840000000003,0,NA,0
2020-07-13T10:06:00Z,15,Warren Ames Bridge,16,NA,NA,13,1.362456,14.822058240000002,10,0
2020-07-20T08:25:00Z,46,Warren Ames Bridge,14,NA,NA,12.8,2.688336,12.971312640000003,150,0
2020-07-27T09:20:00Z,1,Warren Ames Bridge,15,NA,NA,13.9,1.901952,9.253728,190,0
2020-08-05T08:45:00Z,6.7,Warren Ames Bridge,14,NA,NA,14.1,2.700528,12.971312640000003,210,0
2020-08-11T06:20:00Z,1.7,Warren Ames Bridge,11,NA,NA,12.5,1.4599920000000002,0,NA,5.334000000000001e-4
2020-08-18T08:35:00Z,36,Warren Ames Bridge,13,NA,NA,14.7,2.7371040000000004,11.120567040000001,210,0
